company,department,title,name,theme,article_title,publish_date,article_url,keyword
ＣＸＯ　Ｇｒｏｗｔｈ株式会社,,設立発起人,細木祐孝,Japan CxO Award審査員,「Japan CxO Award 2025」【事業部門】の ファイナリストにペイトナー 最高執行責任者（COO）野呂祐介が選出されました,2025-11-12,https://prtimes.jp/main/html/rd/p/000000207.000047439.html,マネージャー
D4V合同会社,,Principal,遠藤 幹也,Design for Ventures投資家コメント,三菱地所・三井不動産が同時出資。Free Standard、累計13.7億円の資金調達を実施,2026-03-17,https://prtimes.jp/main/html/rd/p/000000057.000104536.html,部長
Dahua Technology Japan合同会社,技術本部,製品&ソリューションマネージャー,安田 卓矢,BI情報のビジュアライズ化に関するスマートリテールソリューション講師,【4社共催/無料セミナー】データ活用×店舗DXが顧客体験価値を加速！！～リテールテックセミナー,2025-09-05,https://prtimes.jp/main/html/rd/p/000001951.000080271.html,部長
株式会社ＤＡＩＫＥＩ　ＭＩＬＬＳ,,,中村圭佑,空間デザイン事務所の主導者として紹介,「喫茶」と「バー」を独自の視点で再編集した、過ごし方・時間帯で表情を変えるコーヒー・バー＆ラウンジ「LOOPS」が2025年9月12日（金）、「NEWoMan TAKANAWA」内にオープン,2025-09-10,https://prtimes.jp/main/html/rd/p/000000115.000057219.html,マネージャー
合同会社ＤＡＯＮ,,Director of Sales Japan,吉井 孝,プレゼンテーション登壇者,第12回 FIDO東京セミナー プログラム確定のお知らせ 12月5日（金）12:00開場,2025-11-18,https://prtimes.jp/main/html/rd/p/000000039.000037279.html,部長
Ｄａｔａｂｒｉｃｋｓ　Ｊａｐａｎ株式会社,フィールドエンジニアリング本部,マネージャー,石橋 慶範,Data Engineering Summit 2026の登壇者,"【スポンサー募集開始】前回1,200名超の申込実績！データエンジニアリングの未来を語る「Data Engineering Summit 2026」開催決定、DAMA木山会長・データ基盤大手3社が登壇！",2026-05-14,https://prtimes.jp/main/html/rd/p/000000233.000045379.html,部長
Ｄａｔａｂｒｉｃｋｓ　Ｊａｐａｎ株式会社,エンタープライズ第6営業部,部長,大藏 公介,Data Engineering Summit 2026の登壇者,"【スポンサー募集開始】前回1,200名超の申込実績！データエンジニアリングの未来を語る「Data Engineering Summit 2026」開催決定、DAMA木山会長・データ基盤大手3社が登壇！",2026-05-14,https://prtimes.jp/main/html/rd/p/000000233.000045379.html,部長
株式会社ＤＡＷＮ　ＣＡＰＩＴＡＬ,,Partner / Director,山﨑 大世,投資家としてコメント,東南アジアのモビリティインフラを構築するmovus、シリーズBで総額42.6億円の資金調達を完了,2026-05-15,https://prtimes.jp/main/html/rd/p/000000002.000180213.html,部長
DBJキャピタル株式会社,,シニア・インベストメント・マネージャー,宇治 春佳,シリーズB投資家としてのコメント,forest株式会社、シリーズBを総額60億円で実施,2025-10-06,https://prtimes.jp/main/html/rd/p/000000022.000087610.html,マネージャー
株式会社ＤＣＡＡ,,,キャプテン・モハメッド・アーメド・アリヤッシ,パネリストとして登壇,国内外から次世代エアモビリティ（AAM）業界を牽引する官民の関係者が、愛知スカイExpoに集う！ 「AAM アジア 2025」が9月16日に開幕,2025-09-09,https://prtimes.jp/main/html/rd/p/000000019.000028727.html,課長
株式会社ＤｅｅＬ,,Regional Manager(Enterprise Asia),カレン・ン,GRIC 2025トークセッション登壇、グローバル採用戦略の議論,グローバル人事・給与プラットフォームDeel、国内最大級の成長産業カンファレンス「GRIC 2025」に出展,2025-11-25,https://prtimes.jp/main/html/rd/p/000000055.000090798.html,マネージャー
株式会社ＤｅｅＬ,,社長執行役員・カントリーマネージャー,西浦亮,日本事業の成長を牽引する新責任者として就任,Deel、2025年度日本事業の成長を牽引する新責任者として西浦亮が就任,2025-09-09,https://prtimes.jp/main/html/rd/p/000000052.000090798.html,マネージャー
Ｄｅｅｌ　Ｊａｐａｎ株式会社,,社長執行役員 カントリーマネージャー,西浦 亮,GRIC 2025参加、日本企業へのグローバル支援,グローバル人事・給与プラットフォームDeel、国内最大級の成長産業カンファレンス「GRIC 2025」に出展,2025-11-25,https://prtimes.jp/main/html/rd/p/000000055.000090798.html,マネージャー
