company,name,dept_title,publish_date,article_url,status
,,,2020-05-14,https://www.onecareer.jp/articles/2082,登場人物情報なし
双日株式会社,岡田 勝紀,人事部部長,2021-02-19,https://www.onecareer.jp/articles/2112,OK
,,,2019-12-24,https://www.onecareer.jp/articles/2078,登場人物情報なし
,,,2020-11-20,https://www.onecareer.jp/articles/2096,登場人物情報なし
ノースサンド,新山 純,人事部 採用責任者,2022-05-25,https://www.onecareer.jp/articles/2117,OK
コンサルティング事業部ディレクター,石山 泰行,2009年に国内大手コンサルティングファームへ入社,2022-05-25,https://www.onecareer.jp/articles/2117,OK
,,,2019-11-26,https://www.onecareer.jp/articles/2140,登場人物情報なし
,,,2019-11-27,https://www.onecareer.jp/articles/2141,登場人物情報なし
,,,2020-07-20,https://www.onecareer.jp/articles/2158,登場人物情報なし
,,,2020-01-27,https://www.onecareer.jp/articles/2170,登場人物情報なし
株式会社ワンキャリア,北野 唯我,取締役CSO／作家,2019-12-20,https://www.onecareer.jp/articles/2169,OK
関西オフィス共同代表パートナー,北條 元宏,大阪大学 法学部卒,2020-12-01,https://www.onecareer.jp/articles/2177,OK
アソシエイト,大森 雅仁,東京大学大学院 工学系研究科卒、2018年入社,2020-12-01,https://www.onecareer.jp/articles/2177,OK
ビジネスアナリスト,岩井 愛可,京都大学大学院 経営管理教育部 修士課程修了,2021-04-12,https://www.onecareer.jp/articles/2181,OK
パートナー,赤山 真一,東京大学大学院 工学系研究科 航空宇宙工学専攻 修士課程修了,2021-04-12,https://www.onecareer.jp/articles/2181,OK
,,,2020-01-07,https://www.onecareer.jp/articles/2189,登場人物情報なし
GA,樋口 龍,technologies 代表取締役社長 CEO,2019-12-25,https://www.onecareer.jp/articles/2200,OK
エッグフォワード株式会社,徳谷 智史,代表取締役社長,2022-07-01,https://www.onecareer.jp/articles/2214,OK
エッグフォワード株式会社,田村 学,ディレクター 企業変革支援事業統括執行役員,2022-07-01,https://www.onecareer.jp/articles/2214,OK
,,,2020-03-16,https://www.onecareer.jp/articles/2218,登場人物情報なし
,,,2020-01-28,https://www.onecareer.jp/articles/2223,登場人物情報なし
,,,2020-01-29,https://www.onecareer.jp/articles/2224,登場人物情報なし
,,,2020-02-13,https://www.onecareer.jp/articles/2249,登場人物情報なし
ヘルスケア・サービス事業本部ヘルスケア事業部医療経営支援室所属。2019年入社。現職にて、投資管理などを担当。,津久井 理紗,──ちなみに津久井さんは、どのコースに参加されましたか？,2020-02-12,https://www.onecareer.jp/articles/2263,OK
ニトリホールディングス,白井 俊之,代表取締役社長,2020-03-03,https://www.onecareer.jp/articles/2256,OK
株式会社ワンキャリア,北野 唯我,取締役CSO／作家,2020-03-03,https://www.onecareer.jp/articles/2256,OK
,,,2021-05-14,https://www.onecareer.jp/articles/2266,登場人物情報なし
,,,2020-03-10,https://www.onecareer.jp/articles/2265,登場人物情報なし
,,,2020-03-17,https://www.onecareer.jp/articles/2295,登場人物情報なし
,,,2021-04-07,https://www.onecareer.jp/articles/2307,登場人物情報なし
,,,2020-04-24,https://www.onecareer.jp/articles/2314,登場人物情報なし
,,,2023-05-08,https://www.onecareer.jp/articles/2319,登場人物情報なし
丸紅株式会社,松尾 麻記子,人事部 採用・人財開発課長,2021-04-02,https://www.onecareer.jp/articles/2322,OK
丸紅株式会社,川合 佑美子,飲料原料部 飲料原料第一課,2021-04-02,https://www.onecareer.jp/articles/2322,OK
,,,2021-03-04,https://www.onecareer.jp/articles/2320,登場人物情報なし
ダイキン,村上 大介,グローバル戦略本部 課長,2025-04-25,https://www.onecareer.jp/articles/2323,OK
日本ロレアル,峯廻 聡美,デジタル戦略統括本部 チーフ・デジタル・オフィサー（CDO）,2020-10-19,https://www.onecareer.jp/articles/2332,OK
コンシューマー,菊池 裕貴,プロダクツ事業本部（CPD） デジタルマネージャー,2020-10-19,https://www.onecareer.jp/articles/2332,OK
株式会社ワンキャリア,北野 唯我,取締役CSO／作家,2020-04-30,https://www.onecareer.jp/articles/2351,OK
,,,2020-05-01,https://www.onecareer.jp/articles/2362,登場人物情報なし
,,,2020-12-08,https://www.onecareer.jp/articles/2386,登場人物情報なし
,,,2020-05-22,https://www.onecareer.jp/articles/2384,登場人物情報なし
2012年、三井化学株式会社へ新卒入社。,廣瀬 公寿,,2020-10-21,https://www.onecareer.jp/articles/2387,OK
三井不動産株式会社,坪浦 諒子,人事部 人材開発グループ,2021-07-19,https://www.onecareer.jp/articles/2397,OK
,,,2020-06-24,https://www.onecareer.jp/articles/2410,登場人物情報なし
,,,2020-06-18,https://www.onecareer.jp/articles/2413,登場人物情報なし
モルガン・スタンレー,伊東 優希,投資銀行部門 アソシエイト。2017年に新卒で入社して以来、不動産業界の資金調達及びM&A案件を担当。趣味はクラシックバレエ、レストラン開拓、旅行,2020-06-19,https://www.onecareer.jp/articles/2411,OK
株式会社ワンキャリア,北野 唯我,取締役CSO／作家,2020-06-29,https://www.onecareer.jp/articles/2416,OK
,,,2020-09-08,https://www.onecareer.jp/articles/2453,登場人物情報なし
,,,2020-08-17,https://www.onecareer.jp/articles/2432,登場人物情報なし
資生堂ジャパン株式会社,井上 貴央,DX推進部 UXUI推進グループ,2023-06-09,https://www.onecareer.jp/articles/2461,OK
,,,2020-09-28,https://www.onecareer.jp/articles/2458,登場人物情報なし
,,,2020-10-09,https://www.onecareer.jp/articles/2462,登場人物情報なし
オリックス株式会社グループ人事部長。,三瀬 勝之,1995年新卒入社,2020-10-12,https://www.onecareer.jp/articles/2463,OK
KDDI,山本 悠樹,人事本部 人事企画部 企画グループ,2020-10-16,https://www.onecareer.jp/articles/2473,OK
,,,2016-03-31,https://www.onecareer.jp/articles/249,登場人物情報なし
JT（日本たばこ産業）,新島 優一,事業企画室 新卒採用担当,2020-10-26,https://www.onecareer.jp/articles/2479,OK
JT（日本たばこ産業）,須永 恵太,事業企画室 新卒採用担当,2020-10-26,https://www.onecareer.jp/articles/2479,OK
,,,2020-11-16,https://www.onecareer.jp/articles/2481,登場人物情報なし
野村総合研究所,粂井 華子,コーポレートイノベーションコンサルティング部（CIC）事業変革グループ コンサルタント,2020-11-19,https://www.onecareer.jp/articles/2493,OK
野村総合研究所,深尾 七恵,グローバル製造業コンサルティング部 ソリューションエンジニアリンググループ 主任コンサルタント,2020-11-19,https://www.onecareer.jp/articles/2493,OK
,,,2020-11-25,https://www.onecareer.jp/articles/2494,登場人物情報なし
,,,2016-04-01,https://www.onecareer.jp/articles/250,登場人物情報なし
,,,2021-07-21,https://www.onecareer.jp/articles/2498,登場人物情報なし
凸版印刷,梅川 健児,情報コミュニケーション事業本部 マーケティング事業部 コミュニケーションデザイン本部長兼エンゲージメントサービス本部長,2020-12-02,https://www.onecareer.jp/articles/2503,OK
株式会社BANDAI,亀井 俊治,SPIRITS コレクターズ事業部 欧米マーケティングチーム アシスタントマネージャー,2021-10-13,https://www.onecareer.jp/articles/2505,OK
,,,2016-04-02,https://www.onecareer.jp/articles/251,登場人物情報なし
,,,2016-04-03,https://www.onecareer.jp/articles/252,登場人物情報なし
オリックス不動産株式会社,藤川 了輔,投資開発事業本部,2020-12-15,https://www.onecareer.jp/articles/2504,OK
オリックス株式会社,平岡 亮太朗,事業投資本部,2020-12-15,https://www.onecareer.jp/articles/2504,OK
イー・ギャランティ代表取締役社長。,江藤 公則,1998年、伊藤忠商事に新卒入社,2023-02-22,https://www.onecareer.jp/articles/2519,OK
デロイト トーマツ コンサルティング合同会社,矢島 達也,C&MTユニット マネジャー,2020-12-24,https://www.onecareer.jp/articles/2521,OK
資生堂,増田 卓矢,オムニエクスペリエンス推進部 テクノロジーコンテンツグループ,2021-04-27,https://www.onecareer.jp/articles/2526,OK
資生堂,宇井 ありさ,オムニエクスペリエンス推進部 CRM運営グループ,2021-04-27,https://www.onecareer.jp/articles/2526,OK
,,,2016-04-05,https://www.onecareer.jp/articles/254,登場人物情報なし
,,,2016-04-04,https://www.onecareer.jp/articles/253,登場人物情報なし
,,,2021-01-19,https://www.onecareer.jp/articles/2540,登場人物情報なし
,,,2016-04-06,https://www.onecareer.jp/articles/255,登場人物情報なし
,,,2021-03-05,https://www.onecareer.jp/articles/2552,登場人物情報なし
,,,2016-04-07,https://www.onecareer.jp/articles/256,登場人物情報なし
,,,2021-02-12,https://www.onecareer.jp/articles/2553,登場人物情報なし
Customer,小原 佳人,Success Div. IS1 Dept. Grp Mgr(2020年12月末時点),2021-03-15,https://www.onecareer.jp/articles/2571,OK
Customer,赤津 克明,Success Div. IS1 Dept. Dept Mgr(2020年12月末時点),2021-03-15,https://www.onecareer.jp/articles/2571,OK
,,,2021-03-16,https://www.onecareer.jp/articles/2583,登場人物情報なし
レバレジーズ株式会社,藤本 直也,執行役員,2022-03-07,https://www.onecareer.jp/articles/2605,OK
レバレジーズ株式会社,野村 亮太,メディア企画部オウンドメディアグループ責任者,2022-03-07,https://www.onecareer.jp/articles/2605,OK
三井住友銀行,大沢 真穂,人事部 採用グループ,2021-05-24,https://www.onecareer.jp/articles/2606,OK
三井住友銀行,難波 拓馬,人事部 採用グループ,2021-05-24,https://www.onecareer.jp/articles/2606,OK
,,,2021-04-26,https://www.onecareer.jp/articles/2617,登場人物情報なし
コンサルタント,長谷川 まゆり,,2021-05-20,https://www.onecareer.jp/articles/2623,OK
営業,川﨑 玲奈,,2021-05-20,https://www.onecareer.jp/articles/2623,OK
,,,2021-05-31,https://www.onecareer.jp/articles/2629,登場人物情報なし
A.T.,関灘 茂,カーニー代表取締役 マネージングディレクター ジャパン（日本代表）／シニア パートナー,2021-06-10,https://www.onecareer.jp/articles/2630,OK
グラフィックレコーダー,松田 海,ゼミ5期生,2021-06-07,https://www.onecareer.jp/articles/2631,OK
東京工業大学,友部 遼,環境・社会理工学院 助教,2021-06-07,https://www.onecareer.jp/articles/2631,OK
凸版印刷,佐藤 圭一,広報本部 宣伝部長,2021-07-15,https://www.onecareer.jp/articles/2650,OK
凸版印刷,行德 茜,広報本部 宣伝部 主任,2021-07-15,https://www.onecareer.jp/articles/2650,OK
凸版印刷,渡邊 慎悟,広報本部 宣伝部 主任,2021-07-15,https://www.onecareer.jp/articles/2650,OK
,,,2021-06-29,https://www.onecareer.jp/articles/2646,登場人物情報なし
レアゾン・ホールディングス,二ノ宮 悠大朗,マーケティング本部 執行役員,2021-07-07,https://www.onecareer.jp/articles/2651,OK
,,,2021-07-16,https://www.onecareer.jp/articles/2658,登場人物情報なし
コンサルタント,上西 智,東京大学大学院 工学系研究科を修了後、2018年に新卒入社,2021-07-12,https://www.onecareer.jp/articles/2654,OK
ビジネスアナリスト,真野 晴香,,2021-07-12,https://www.onecareer.jp/articles/2654,OK
パートナー,花村 遼,東京大学大学院 工学系研究科を修了後、ADLに新卒入社,2021-07-12,https://www.onecareer.jp/articles/2654,OK
株式会社クラウドワークス,田中 優子,取締役 経営企画室長,2021-07-27,https://www.onecareer.jp/articles/2664,OK
A.T.,関灘 茂,カーニー代表取締役 マネージングディレクター ジャパン（日本代表）／シニア パートナー,2021-07-27,https://www.onecareer.jp/articles/2664,OK
JT（日本たばこ産業）,篠原 瑞恵,品質保証グループ お客様満足推進部長,2021-07-30,https://www.onecareer.jp/articles/2666,OK
株式会社資生堂,柳内 清隆,プレミアムブランド事業本部 副本部⻑、第4事業部事業部⻑,2023-06-07,https://www.onecareer.jp/articles/2678,OK
株式会社資生堂,白石 直嗣,プレミアムブランド事業本部 第4事業部,2023-06-07,https://www.onecareer.jp/articles/2678,OK
経営企画（M&A担当）,水谷 圭佑,上智大学経済学部卒,2023-03-30,https://www.onecareer.jp/articles/2690,OK
コーポレートディベロップメント,影澤 司,法政大学経営学部卒後、三菱UFJ銀行へ入行,2023-03-30,https://www.onecareer.jp/articles/2690,OK
執行役員・プロダクト責任者,篠塚 大樹,慶應義塾大学総合政策学部卒業後、2017年4月に株式会社ギフティに入社,2023-03-30,https://www.onecareer.jp/articles/2690,OK
NTTコミュニケーションズ株式会社,野呂田 学,ビジネスソリューション本部 事業推進部 担当課長,2021-09-02,https://www.onecareer.jp/articles/2692,OK
NTTコミュニケーションズ株式会社,金子 兼汰,ビジネスソリューション本部 第四ビジネスソリューション部,2021-09-02,https://www.onecareer.jp/articles/2692,OK
,,,2021-10-19,https://www.onecareer.jp/articles/2703,登場人物情報なし
Sky,西川 光雄,クライアント・システム開発事業部 営業部執行役員,2021-09-30,https://www.onecareer.jp/articles/2693,OK
三菱地所株式会社,鈴木 将敬,コマーシャル不動産戦略企画部 主事,2021-09-28,https://www.onecareer.jp/articles/2705,OK
株式会社JTB,並木 龍馬,ビジネスソリューション事業本部 虎ノ門第五事業部 営業第四課 グループリーダー、e-sports事業推進リーダー,2021-10-05,https://www.onecareer.jp/articles/2710,OK
,,,2021-10-11,https://www.onecareer.jp/articles/2723,登場人物情報なし
ビジネスイノベーション・DX戦略室担当部長,日高 剛史,2000年に三菱電機に新卒で入社,2021-11-16,https://www.onecareer.jp/articles/2737,OK
Ridgelinez株式会社,今井 俊哉,代表取締役 CEO,2021-11-18,https://www.onecareer.jp/articles/2738,OK
Ridgelinez株式会社,宇田川 千穂,Consultant,2021-11-18,https://www.onecareer.jp/articles/2738,OK
Ridgelinez株式会社,松永 慶太,Associate,2021-11-18,https://www.onecareer.jp/articles/2738,OK
住友商事,永井 恵子,住友商事 グローバル人材マネジメント部 グローバル人材マネジメントチーム長,2021-11-17,https://www.onecareer.jp/articles/2739,OK
,,,2021-12-08,https://www.onecareer.jp/articles/2746,登場人物情報なし
慶應義塾大学を卒業後、2020年ベイカレント・コンサルティングに新卒入社。主に電力会社において、事業戦略策定・業務改善・システム導入まで一貫して支援。,萩野谷 風雅,加藤木,2022-03-11,https://www.onecareer.jp/articles/2751,OK
法政大学を卒業後、2020年ベイカレント・コンサルティングに新卒入社。主にフードデリバリー会社において、業務改善・UI設計・システム導入などに従事。,西岡 慧子,,2022-03-11,https://www.onecareer.jp/articles/2751,OK
取締役グループ副社長執行役員・COO,西山 裕之,グループ代表補佐,2022-05-20,https://www.onecareer.jp/articles/2754,OK
GMOインターネット株式会社,谷下田 まどか,人事総務部 兼 グループ人事部 マネージャ,2022-05-20,https://www.onecareer.jp/articles/2754,OK
GMOペイメントゲートウェイ株式会社,稲山 享伸,執行役員・人事部長,2022-05-20,https://www.onecareer.jp/articles/2754,OK
GMOペパボ株式会社,船橋 恵,HR統括部 副部長,2022-05-20,https://www.onecareer.jp/articles/2754,OK
株式会社ノースサンド,前田 知紘,代表取締役,2022-11-01,https://www.onecareer.jp/articles/2763,OK
Ｓｋｙ,加藤 貴弘,ICTソリューション事業部開発部開発課,2022-01-21,https://www.onecareer.jp/articles/2741,OK
,,,2022-02-14,https://www.onecareer.jp/articles/2764,登場人物情報なし
,,,2022-02-10,https://www.onecareer.jp/articles/2766,登場人物情報なし
三菱商事,加藤 光軌,産業インフラグループ・インフラソリューション部,2022-06-30,https://www.onecareer.jp/articles/2767,OK
三菱商事,立石 隆章,産業インフラグループ・インフラソリューション部,2022-06-30,https://www.onecareer.jp/articles/2767,OK
NRIセキュアテクノロジーズ,観堂 剛太郎,DXセキュリティ事業本部長,2022-02-09,https://www.onecareer.jp/articles/2769,OK
NRIセキュアテクノロジーズ,浅井 麻友子,DXセキュリティ事業本部 DevSecOps事業部 情報セキュリティスペシャリスト,2022-02-09,https://www.onecareer.jp/articles/2769,OK
戦略コンサルティングチーム,徳田 浩明,シニア・マネージャー,2023-03-06,https://www.onecareer.jp/articles/2782,OK
